host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:32:24.958,137401,1.6676,0.2404,0.2541,0.2235
2026-07-15T10:32:25.061,137504,1.6653,0.2431,0.2495,0.2258
2026-07-15T10:32:25.163,137607,1.6644,0.2468,0.255,0.2271
2026-07-15T10:32:25.267,137710,1.6649,0.2363,0.2568,0.2143
2026-07-15T10:32:25.370,137813,1.6667,0.2422,0.255,0.2226
2026-07-15T10:32:25.473,137916,1.6557,0.2395,0.2541,0.2212
2026-07-15T10:32:25.576,138019,1.6598,0.2454,0.255,0.2267
2026-07-15T10:32:25.679,138122,1.6612,0.2422,0.2518,0.2221
2026-07-15T10:32:25.782,138225,1.6562,0.239,0.2568,0.2271
2026-07-15T10:32:25.885,138328,1.6649,0.2381,0.2513,0.2248
2026-07-15T10:32:25.988,138431,1.6649,0.2386,0.2541,0.2299
2026-07-15T10:32:26.091,138534,1.6575,0.2463,0.2491,0.2299
2026-07-15T10:32:26.194,138637,1.663,0.2422,0.2545,0.229
2026-07-15T10:32:26.297,138740,1.6617,0.2381,0.2559,0.2303
2026-07-15T10:32:26.400,138843,1.6649,0.2422,0.2536,0.2258
2026-07-15T10:32:26.503,138946,1.6662,0.2436,0.2518,0.2239
2026-07-15T10:32:26.606,139049,1.6589,0.2427,0.2545,0.2267
2026-07-15T10:32:26.709,139152,1.6681,0.2404,0.2545,0.2285
2026-07-15T10:32:26.812,139255,1.663,0.2445,0.2545,0.2253
2026-07-15T10:32:26.915,139358,1.6626,0.2367,0.2536,0.2226
2026-07-15T10:32:27.018,139461,1.6621,0.2459,0.2523,0.2253
2026-07-15T10:32:27.121,139564,1.663,0.239,0.2523,0.2235
2026-07-15T10:32:27.223,139667,1.663,0.2399,0.2532,0.2276
2026-07-15T10:32:27.326,139770,1.6626,0.2454,0.2545,0.2258
2026-07-15T10:32:27.430,139873,1.6612,0.2422,0.2555,0.2271
2026-07-15T10:32:27.532,139976,1.6653,0.2427,0.2454,0.2198
2026-07-15T10:32:27.635,140079,1.6639,0.2413,0.2504,0.2271
2026-07-15T10:32:27.738,140182,1.6681,0.2427,0.255,0.223
2026-07-15T10:32:27.841,140285,1.6644,0.2427,0.2577,0.2235
2026-07-15T10:32:27.945,140388,1.6644,0.2436,0.255,0.2203
2026-07-15T10:32:28.047,140491,1.6694,0.2422,0.2523,0.2239
2026-07-15T10:32:28.151,140594,1.663,0.2463,0.255,0.2239
2026-07-15T10:32:28.253,140697,1.6658,0.2413,0.2532,0.2253
2026-07-15T10:32:28.357,140800,1.6685,0.2408,0.2495,0.2258
2026-07-15T10:32:28.460,140903,1.6662,0.2422,0.2509,0.2239
2026-07-15T10:32:28.562,141006,1.6658,0.2468,0.2509,0.2262
2026-07-15T10:32:28.666,141109,1.6694,0.2431,0.2509,0.2235
2026-07-15T10:32:28.769,141212,1.6653,0.2367,0.2596,0.2207
2026-07-15T10:32:28.872,141315,1.6626,0.2436,0.2564,0.2239
2026-07-15T10:32:28.975,141418,1.6639,0.244,0.2545,0.229
2026-07-15T10:32:29.078,141521,1.6699,0.245,0.255,0.2226
2026-07-15T10:32:29.180,141624,1.6699,0.2422,0.2573,0.2184
2026-07-15T10:32:29.284,141727,1.6681,0.2408,0.2513,0.2239
2026-07-15T10:32:29.387,141830,1.6649,0.2431,0.2518,0.2258
2026-07-15T10:32:29.490,141933,1.6708,0.2372,0.2541,0.2258
2026-07-15T10:32:29.593,142036,1.6699,0.2408,0.2568,0.2184
2026-07-15T10:32:29.696,142139,1.6726,0.2399,0.2504,0.229
2026-07-15T10:32:29.798,142242,1.6653,0.2418,0.2491,0.2262
2026-07-15T10:32:29.902,142345,1.6699,0.2468,0.2536,0.2262
2026-07-15T10:32:30.005,142448,1.6731,0.2436,0.2541,0.2271
2026-07-15T10:32:30.108,142551,1.6644,0.2404,0.25,0.2244
2026-07-15T10:32:30.211,142654,1.6649,0.2395,0.2523,0.229
2026-07-15T10:32:30.314,142757,1.669,0.2459,0.255,0.2216
2026-07-15T10:32:30.416,142860,1.6726,0.2431,0.2513,0.2239
2026-07-15T10:32:30.520,142963,1.6703,0.2399,0.2568,0.2285
2026-07-15T10:32:30.623,143066,1.6749,0.2413,0.2513,0.228
2026-07-15T10:32:30.726,143169,1.669,0.2399,0.2509,0.2303
2026-07-15T10:32:30.829,143272,1.6735,0.2344,0.2609,0.2216
2026-07-15T10:32:30.932,143375,1.6763,0.2399,0.2532,0.2308
2026-07-15T10:32:31.035,143478,1.6813,0.2395,0.2495,0.2235
2026-07-15T10:32:31.138,143581,1.6776,0.2422,0.2541,0.2258
2026-07-15T10:32:31.240,143684,1.6726,0.2468,0.2541,0.2248
2026-07-15T10:32:31.344,143787,1.674,0.2431,0.2532,0.223
2026-07-15T10:32:31.447,143890,1.6731,0.2386,0.255,0.2235
2026-07-15T10:32:31.550,143993,1.6749,0.2418,0.2504,0.2253
2026-07-15T10:32:31.653,144096,1.6758,0.2436,0.2564,0.2171
2026-07-15T10:32:31.755,144199,1.6776,0.2418,0.2587,0.2267
2026-07-15T10:32:31.858,144302,1.6735,0.2399,0.2536,0.2248
2026-07-15T10:32:31.961,144405,1.6776,0.2445,0.2587,0.2244
2026-07-15T10:32:32.065,144508,1.6767,0.2408,0.2545,0.2203
2026-07-15T10:32:32.167,144611,1.6767,0.2427,0.255,0.2253
2026-07-15T10:32:32.271,144714,1.6722,0.2372,0.2536,0.2184
2026-07-15T10:32:32.374,144817,1.6758,0.239,0.2527,0.2253
2026-07-15T10:32:32.477,144920,1.6758,0.244,0.2573,0.2221
2026-07-15T10:32:32.579,145023,1.6712,0.2427,0.2545,0.2271
2026-07-15T10:32:32.683,145126,1.6749,0.2418,0.2482,0.2212
2026-07-15T10:32:32.786,145229,1.674,0.2422,0.2532,0.228
2026-07-15T10:32:32.888,145332,1.6763,0.2404,0.2477,0.2194
2026-07-15T10:32:32.992,145435,1.6735,0.2486,0.2523,0.2258
2026-07-15T10:32:33.095,145538,1.6717,0.2399,0.2523,0.2189
2026-07-15T10:32:33.198,145641,1.679,0.2413,0.2518,0.2212
2026-07-15T10:32:33.301,145744,1.6712,0.2482,0.2536,0.2235
2026-07-15T10:32:33.404,145847,1.6754,0.239,0.2564,0.2235
2026-07-15T10:32:33.507,145950,1.6717,0.2482,0.255,0.2235
2026-07-15T10:32:33.610,146053,1.6776,0.2422,0.2523,0.2239
2026-07-15T10:32:33.712,146156,1.6772,0.244,0.2605,0.2207
2026-07-15T10:32:33.816,146259,1.6818,0.239,0.255,0.2267
2026-07-15T10:32:33.919,146362,1.6781,0.2495,0.2564,0.2276
2026-07-15T10:32:34.021,146465,1.6813,0.2454,0.2532,0.223
2026-07-15T10:32:34.125,146568,1.6763,0.2399,0.2541,0.2235
2026-07-15T10:32:34.227,146671,1.6813,0.2386,0.2509,0.2244
2026-07-15T10:32:34.331,146774,1.6859,0.2427,0.2559,0.2262
2026-07-15T10:32:34.434,146877,1.6808,0.2363,0.2536,0.2226
2026-07-15T10:32:34.536,146980,1.6831,0.2486,0.255,0.218
2026-07-15T10:32:34.640,147083,1.685,0.2445,0.2545,0.2267
2026-07-15T10:32:34.742,147186,1.6813,0.245,0.2568,0.2212
