host_time_iso,device_tick_ms,ch0_pF,ch1_pF,ch2_pF,ch3_pF
2026-07-15T10:38:30.446,60351,1.711,0.2413,0.2536,0.2262
2026-07-15T10:38:30.600,60504,1.7087,0.2431,0.255,0.2248
2026-07-15T10:38:30.753,60657,1.7128,0.2445,0.2495,0.2244
2026-07-15T10:38:30.906,60810,1.716,0.2418,0.2564,0.2262
2026-07-15T10:38:31.059,60963,1.7142,0.2436,0.2518,0.2294
2026-07-15T10:38:31.211,61116,1.7147,0.2422,0.2559,0.2248
2026-07-15T10:38:31.365,61269,1.7106,0.2418,0.2555,0.228
2026-07-15T10:38:31.518,61422,1.7138,0.2408,0.2541,0.2276
2026-07-15T10:38:31.671,61575,1.7119,0.2454,0.2555,0.2262
2026-07-15T10:38:31.824,61728,1.7074,0.2436,0.2564,0.2253
2026-07-15T10:38:31.976,61881,1.7055,0.245,0.255,0.228
